id,label
TEST_133,훼손
TEST_134,훼손
TEST_135,오염
TEST_136,훼손
TEST_137,훼손
TEST_138,훼손
TEST_139,훼손
TEST_140,오타공
TEST_141,훼손
TEST_142,오염
TEST_143,훼손
TEST_144,훼손
TEST_145,오염
TEST_146,오타공
TEST_147,석고수정
TEST_148,훼손
TEST_149,오염
TEST_150,훼손
TEST_151,걸레받이수정
TEST_152,훼손
TEST_153,훼손
TEST_154,훼손
TEST_155,훼손
TEST_156,오염
TEST_157,오염
TEST_158,훼손
TEST_159,훼손
TEST_160,훼손
TEST_161,훼손
TEST_162,훼손
TEST_163,훼손
TEST_164,훼손
TEST_165,훼손
TEST_166,오염
TEST_167,훼손
TEST_168,훼손
TEST_169,훼손
TEST_170,훼손
TEST_171,훼손
TEST_172,훼손
TEST_173,훼손
TEST_174,오염
TEST_175,훼손
TEST_176,훼손
TEST_177,훼손
TEST_178,훼손
TEST_179,꼬임
TEST_180,훼손
TEST_181,오염
TEST_182,오염
TEST_183,꼬임
TEST_184,훼손
TEST_185,훼손
TEST_186,훼손
TEST_187,훼손
TEST_188,꼬임
TEST_189,훼손
TEST_190,오염
TEST_191,훼손
TEST_192,훼손
TEST_193,오염
TEST_194,훼손
TEST_195,곰팡이
TEST_196,훼손
TEST_197,오염
TEST_198,오염
TEST_199,걸레받이수정
TEST_200,훼손
TEST_201,꼬임
TEST_202,오염
TEST_203,오염
TEST_204,"창틀,문틀수정"
TEST_205,오염
TEST_206,오염
TEST_207,훼손
TEST_208,걸레받이수정
TEST_209,훼손
TEST_210,꼬임
TEST_211,훼손
TEST_212,곰팡이
TEST_213,오염
TEST_214,훼손
TEST_215,"창틀,문틀수정"
TEST_216,훼손
TEST_217,훼손
TEST_218,터짐
TEST_219,훼손
TEST_220,훼손
TEST_221,훼손
TEST_222,훼손
TEST_223,오염
TEST_224,훼손
TEST_225,훼손
TEST_226,훼손
TEST_227,오염
TEST_228,오염
TEST_229,훼손
TEST_230,훼손
TEST_231,들뜸
TEST_232,오염
TEST_233,오염
TEST_234,오염
TEST_235,훼손
TEST_236,꼬임
TEST_237,꼬임
TEST_238,오염
TEST_239,훼손
TEST_240,훼손
TEST_241,훼손
TEST_242,오염
TEST_243,오염
TEST_244,터짐
TEST_245,훼손
TEST_246,훼손
TEST_247,훼손
TEST_248,오염
TEST_249,훼손
TEST_250,오염
TEST_251,면불량
TEST_252,훼손
TEST_253,터짐
TEST_254,걸레받이수정
TEST_255,훼손
TEST_256,오염
TEST_257,오염
TEST_258,오염
TEST_259,훼손
TEST_260,훼손
TEST_261,훼손
TEST_262,훼손
TEST_263,훼손
TEST_264,훼손
TEST_265,몰딩수정
TEST_266,면불량
TEST_267,꼬임
TEST_268,오염
TEST_269,오염
TEST_270,훼손
TEST_271,걸레받이수정
TEST_272,훼손
TEST_273,훼손
TEST_274,오타공
TEST_275,꼬임
TEST_276,꼬임
TEST_277,훼손
TEST_278,훼손
TEST_279,몰딩수정
TEST_280,훼손
TEST_281,오염
TEST_282,오염
TEST_283,오염
TEST_284,오염
TEST_285,터짐
TEST_286,훼손
TEST_287,훼손
TEST_288,훼손
TEST_289,오염
TEST_290,오염
TEST_291,꼬임
TEST_292,훼손
TEST_293,훼손
TEST_294,훼손
TEST_295,훼손
TEST_296,면불량
TEST_297,오타공
TEST_298,훼손
TEST_299,훼손
TEST_300,오염
TEST_301,훼손
TEST_302,곰팡이
TEST_303,훼손
TEST_304,훼손
TEST_305,훼손
TEST_306,훼손
TEST_307,면불량
TEST_308,훼손
TEST_309,훼손
TEST_310,훼손
TEST_311,피스
TEST_312,피스
TEST_313,훼손
TEST_314,훼손
TEST_315,훼손
TEST_316,훼손
TEST_317,훼손
TEST_318,꼬임
TEST_319,꼬임
TEST_320,걸레받이수정
TEST_321,곰팡이
TEST_322,훼손
TEST_323,훼손
TEST_324,곰팡이
TEST_325,훼손
TEST_326,훼손
TEST_327,석고수정
TEST_328,훼손
TEST_329,훼손
TEST_330,훼손
TEST_331,훼손
TEST_332,훼손
TEST_333,훼손
TEST_334,오염
TEST_335,오염
TEST_336,훼손
TEST_337,훼손
TEST_338,훼손
TEST_339,오염
TEST_340,훼손
TEST_341,훼손
TEST_342,훼손
TEST_343,피스
TEST_344,훼손
TEST_345,훼손
TEST_346,몰딩수정
TEST_347,오염
TEST_348,훼손
TEST_349,꼬임
TEST_350,훼손
TEST_351,훼손
TEST_352,오염
TEST_353,꼬임
TEST_354,걸레받이수정
TEST_355,오염
TEST_356,훼손
TEST_357,오염
TEST_358,걸레받이수정
TEST_359,훼손
TEST_360,훼손
TEST_361,훼손
TEST_362,걸레받이수정
TEST_363,훼손
TEST_364,오염
TEST_365,훼손
TEST_366,훼손
TEST_367,훼손
TEST_368,훼손
TEST_369,훼손
TEST_370,피스
TEST_371,꼬임
TEST_372,훼손
TEST_373,오염
TEST_374,훼손
TEST_375,오염
TEST_376,훼손
TEST_377,훼손
TEST_378,훼손
TEST_379,훼손
TEST_380,훼손
TEST_381,훼손
TEST_382,훼손
TEST_383,훼손
TEST_384,이음부불량
TEST_385,녹오염
TEST_386,훼손
TEST_387,훼손
TEST_388,훼손
TEST_389,훼손
TEST_390,훼손
TEST_391,오염
TEST_392,걸레받이수정
TEST_393,걸레받이수정
TEST_394,오염
TEST_395,훼손
TEST_396,훼손
TEST_397,오염
TEST_398,훼손
TEST_399,오염
TEST_400,걸레받이수정
TEST_401,터짐
TEST_402,오염
TEST_403,훼손
TEST_404,꼬임
TEST_405,훼손
TEST_406,오염
TEST_407,훼손
TEST_408,몰딩수정
TEST_409,오염
TEST_410,훼손
TEST_411,훼손
TEST_412,훼손
TEST_413,곰팡이
TEST_414,오염
TEST_415,오염
TEST_416,오염
TEST_417,오염
TEST_418,오염
TEST_419,훼손
TEST_420,훼손
TEST_421,오염
TEST_422,훼손
TEST_423,훼손
TEST_424,훼손
TEST_425,훼손
TEST_426,오염
TEST_427,훼손
TEST_428,꼬임
TEST_429,훼손
TEST_430,훼손
TEST_431,훼손
TEST_432,오염
TEST_433,곰팡이
TEST_434,피스
TEST_435,훼손
TEST_436,훼손
TEST_437,훼손
TEST_438,꼬임
TEST_439,오염
TEST_440,훼손
TEST_441,몰딩수정
TEST_442,훼손
TEST_443,걸레받이수정
TEST_444,훼손
TEST_445,훼손
TEST_446,터짐
TEST_447,훼손
TEST_448,오염
TEST_449,훼손
TEST_450,걸레받이수정
TEST_451,훼손
TEST_452,걸레받이수정
TEST_453,걸레받이수정
TEST_454,오염
TEST_455,훼손
TEST_456,오염
TEST_457,석고수정
TEST_458,훼손
TEST_459,석고수정
TEST_460,훼손
TEST_461,훼손
TEST_462,훼손
TEST_463,훼손
TEST_464,훼손
TEST_465,훼손
TEST_466,훼손
TEST_467,오염
TEST_468,면불량
TEST_469,훼손
TEST_470,오염
TEST_471,훼손
TEST_472,훼손
TEST_473,오염
TEST_474,오타공
TEST_475,훼손
TEST_476,훼손
TEST_477,훼손
TEST_478,훼손
TEST_479,석고수정
TEST_480,오염
TEST_481,꼬임
TEST_482,훼손
TEST_483,훼손
TEST_484,몰딩수정
TEST_485,훼손
TEST_486,훼손
TEST_487,훼손
TEST_488,곰팡이
TEST_489,훼손
TEST_490,오염
TEST_491,석고수정
TEST_492,석고수정
TEST_493,몰딩수정
TEST_494,훼손
TEST_495,면불량
TEST_496,훼손
TEST_497,꼬임
TEST_498,오염
TEST_499,훼손
TEST_500,몰딩수정
TEST_501,석고수정
TEST_502,터짐
TEST_503,훼손
TEST_504,훼손
TEST_505,오염
TEST_506,훼손
TEST_507,몰딩수정
TEST_508,훼손
TEST_509,훼손
TEST_510,훼손
TEST_511,훼손
TEST_512,오타공
TEST_513,훼손
TEST_514,면불량
TEST_515,오염
TEST_516,훼손
TEST_517,훼손
TEST_518,오염
TEST_519,오타공
TEST_520,터짐
TEST_521,피스
TEST_522,훼손
TEST_523,꼬임
TEST_524,꼬임
TEST_525,오염
TEST_526,훼손
TEST_527,오염
TEST_528,훼손
TEST_529,훼손
TEST_530,훼손
TEST_531,훼손
TEST_532,꼬임
TEST_533,훼손
TEST_534,이음부불량
TEST_535,오염
TEST_536,오염
TEST_537,꼬임
TEST_538,훼손
TEST_539,훼손
TEST_540,훼손
TEST_541,터짐
TEST_542,오염
TEST_543,훼손
TEST_544,훼손
TEST_545,훼손
TEST_546,훼손
TEST_547,걸레받이수정
TEST_548,오염
TEST_549,걸레받이수정
TEST_550,훼손
TEST_551,오염
TEST_552,오타공
TEST_553,훼손
TEST_554,오염
TEST_555,오염
TEST_556,터짐
TEST_557,훼손
TEST_558,훼손
TEST_559,터짐
TEST_560,오타공
TEST_561,오염
TEST_562,훼손
TEST_563,오염
TEST_564,훼손
TEST_565,훼손
TEST_566,걸레받이수정
TEST_567,훼손
TEST_568,오염
TEST_569,훼손
TEST_570,훼손
TEST_571,오염
TEST_572,오염
TEST_573,오염
TEST_574,훼손
TEST_575,터짐
TEST_576,훼손
TEST_577,오염
TEST_578,오염
TEST_579,훼손
TEST_580,오염
TEST_581,오염
TEST_582,오염
TEST_583,훼손
TEST_584,훼손
TEST_585,훼손
TEST_586,오염
TEST_587,훼손
TEST_588,훼손
TEST_589,훼손
TEST_590,훼손
TEST_591,훼손
TEST_592,오염
TEST_593,오염
TEST_594,훼손
TEST_595,훼손
TEST_596,꼬임
TEST_597,오염
TEST_598,오염
TEST_599,훼손
TEST_600,훼손
TEST_601,오염
TEST_602,훼손
TEST_603,훼손
TEST_604,들뜸
TEST_605,오염
TEST_606,훼손
TEST_607,오염
TEST_608,훼손
TEST_609,피스
TEST_610,훼손
TEST_611,훼손
TEST_612,훼손
TEST_613,훼손
TEST_614,오타공
TEST_615,곰팡이
TEST_616,오타공
TEST_617,훼손
TEST_618,석고수정
TEST_619,걸레받이수정
TEST_620,곰팡이
TEST_621,훼손
TEST_622,훼손
TEST_623,훼손
TEST_624,걸레받이수정
TEST_625,훼손
TEST_626,이음부불량
TEST_627,훼손
TEST_628,훼손
TEST_629,오염
TEST_630,훼손
TEST_631,꼬임
TEST_632,훼손
TEST_633,꼬임
TEST_634,훼손
TEST_635,훼손
TEST_636,훼손
TEST_637,오염
TEST_638,훼손
TEST_639,석고수정
TEST_640,오염
TEST_641,터짐
TEST_642,훼손
TEST_643,훼손
TEST_644,훼손
TEST_645,곰팡이
TEST_646,훼손
TEST_647,곰팡이
TEST_648,오염
TEST_649,터짐
TEST_650,훼손
TEST_651,훼손
TEST_652,오염
TEST_653,훼손
TEST_654,훼손
TEST_655,훼손
TEST_656,꼬임
TEST_657,걸레받이수정
TEST_658,터짐
TEST_659,오타공
TEST_660,훼손
TEST_661,오염
TEST_662,훼손
TEST_663,훼손
TEST_664,오염
TEST_665,훼손
TEST_666,꼬임
TEST_667,훼손
TEST_668,훼손
TEST_669,훼손
TEST_670,훼손
TEST_671,훼손
TEST_672,훼손
TEST_673,훼손
TEST_674,걸레받이수정
TEST_675,오염
TEST_676,훼손
TEST_677,훼손
TEST_678,훼손
TEST_679,훼손
TEST_680,훼손
TEST_681,훼손
TEST_682,오염
TEST_683,꼬임
TEST_684,훼손
TEST_685,몰딩수정
TEST_686,훼손
TEST_687,오염
TEST_688,훼손
TEST_689,훼손
TEST_690,훼손
TEST_691,훼손
TEST_692,훼손
TEST_693,훼손
TEST_694,오염
TEST_695,훼손
TEST_696,훼손
TEST_697,훼손
TEST_698,꼬임
TEST_699,훼손
TEST_700,오염
TEST_701,오염
TEST_702,훼손
TEST_703,오염
TEST_704,훼손
TEST_705,오염
TEST_706,훼손
TEST_707,오염
TEST_708,면불량
TEST_709,오염
TEST_710,훼손
TEST_711,훼손
TEST_712,훼손
TEST_713,훼손
TEST_714,훼손
TEST_715,훼손
TEST_716,훼손
TEST_717,몰딩수정
TEST_718,피스
TEST_719,훼손
TEST_720,오염
TEST_721,훼손
TEST_722,훼손
TEST_723,훼손
TEST_724,훼손
TEST_725,곰팡이
TEST_726,터짐
TEST_727,훼손
TEST_728,훼손
TEST_729,훼손
TEST_730,훼손
TEST_731,몰딩수정
TEST_732,꼬임
TEST_733,훼손
TEST_734,오염
TEST_735,오염
TEST_736,오염
TEST_737,훼손
TEST_738,오염
TEST_739,훼손
TEST_740,훼손
TEST_741,훼손
TEST_742,훼손
TEST_743,걸레받이수정
TEST_744,오염
TEST_745,훼손
TEST_746,걸레받이수정
TEST_747,오염
TEST_748,훼손
TEST_749,훼손
TEST_750,오염
TEST_751,석고수정
TEST_752,훼손
TEST_753,오염
TEST_754,오염
TEST_755,훼손
TEST_756,오염
TEST_757,훼손
TEST_758,훼손
TEST_759,훼손
TEST_760,훼손
TEST_761,훼손
TEST_762,오염
TEST_763,훼손
TEST_764,훼손
TEST_765,몰딩수정
TEST_766,몰딩수정
TEST_767,오타공
TEST_768,훼손
TEST_769,훼손
TEST_770,훼손
TEST_771,훼손
TEST_772,훼손
TEST_773,훼손
TEST_774,걸레받이수정
TEST_775,훼손
TEST_776,훼손
TEST_777,면불량
TEST_778,훼손
TEST_779,훼손
TEST_780,훼손
TEST_781,훼손
TEST_782,훼손
TEST_783,훼손
TEST_784,훼손
TEST_785,훼손
TEST_786,훼손
TEST_787,오염
TEST_788,훼손
TEST_789,오염
TEST_790,오염
TEST_791,훼손
